learning_rate, optimizer, filter_size, epochs, loss, accuracy
5e-3,p,12,3,0.7944,0.8500
5e-3,p,12,3,0.3906,0.9117
5e-3,p,24,3,0.4725,0.9047
5e-3,p,24,3,0.4654,0.8949
5e-3,p,36,3,0.2679,0.9417
5e-3,p,36,3,0.4727,0.8931
5e-3,p,48,3,0.8286,0.8516
5e-3,p,48,3,0.4290,0.9034
5e-3,c,12,3,0.7819,0.8417
5e-3,c,12,3,0.4858,0.8983
5e-3,c,24,3,0.5068,0.8908
5e-3,c,24,3,0.5243,0.8879
5e-3,c,36,3,0.5052,0.8968
5e-3,c,36,3,0.4992,0.8923
5e-3,c,48,3,0.3939,0.9081
5e-3,c,48,3,,
5e-3,m,12,3,0.8852,0.8096
5e-3,m,12,3,0.5388,0.8677
5e-3,m,24,3,0.6671,0.8653
5e-3,m,24,3,0.4250,0.9063
5e-3,m,36,3,0.6333,0.8925
5e-3,m,36,3,,
5e-3,m,48,3,,
5e-3,m,48,3,,
5e-4,p,12,3,0.4022,0.8871
5e-4,p,12,3,0.5478,0.8453
5e-4,p,24,3,0.2658,0.9266
5e-4,p,24,3,0.1778,0.9473
5e-4,p,36,3,0.3533,0.9116
5e-4,p,36,3,0.1847,0.9393
5e-4,p,48,3,0.1989,0.9472
5e-4,p,48,3,0.2381,0.9359
5e-4,c,12,3,0.3678,0.8896
5e-4,c,12,3,0.2614,0.9174
5e-4,c,24,3,0.2107,0.9365
5e-4,c,24,3,0.1927,0.9378
5e-4,c,36,3,0.2222,0.9327
5e-4,c,36,3,0.2317,0.9375
5e-4,c,48,3,0.1597,0.9508
5e-4,c,48,3,0.2190,0.9419
5e-4,m,12,3,0.3040,0.9096
5e-4,m,12,3,0.3243,0.9010
5e-4,m,24,3,0.2277,0.9351
5e-4,m,24,3,0.1984,0.9389
5e-4,m,36,3,0.2486,0.9288
5e-4,m,36,3,0.2101,0.9338
5e-4,m,48,3,0.2044,0.9383
5e-4,m,48,3,0.1526,0.9568
